Treatment,Test,Species,Canker.Area
Maryland,Active,Pin,285.0995333
Maryland,Active,Pin,75.39822369
Maryland,Active,Pin,54.97787144
Maryland Control,Active,Pin,28.27433388
Maryland Control,Active,Pin,32.98672286
Maryland Control,Active,Pin,27.48893572
Maryland Control,Active,Pin,28.27433388
Maryland Control,Active,Pin,28.27433388
Maryland Control,Active,Pin,
Maryland Control,Active,Pin,23.5619449
Maryland Control,Active,Pin,42.41150082
University Park,Active,Pin,247.4004215
University Park,Active,Pin,329.8672286
University Park,Active,Pin,1747.510914
University Park,Active,Pin,701.3605599
University Park,Active,Pin,141.3716694
University Park,Active,Pin,2356.19449
University Park,Active,Pin,49.48008429
University Park,Active,Pin,141.3716694
University Park Control,Active,Pin,42.41150082
University Park Control,Active,Pin,23.5619449
University Park Control,Active,Pin,2120.575041
University Park Control,Active,Pin,28.27433388
University Park Control,Active,Pin,23.5619449
University Park Control,Active,Pin,301.5928947
University Park Control,Active,Pin,494.0154448
University Park Control,Active,Pin,32.98672286
Erie,Active,White,62.83185307
Erie,Active,White,49.48008429
Erie,Active,White,157.0796327
Erie,Active,White,3180.862562
Erie,Active,White,
Erie,Active,White,2827.433388
Erie,Active,White,1724.734367
Erie,Active,White,28.27433388
Erie Control,Active,White,28.27433388
Erie Control,Active,White,3298.672286
Erie Control,Active,White,2474.004215
Erie Control,Active,White,84.82300165
Erie Control,Active,White,81.68140899
Erie Control,Active,White,19.63495408
Erie Control,Active,White,296.8805058
Erie Control,Active,White,
Maryland,Active,White,62.83185307
Maryland,Active,White,77.75441818
Maryland,Active,White,100.5309649
Maryland,Active,White,2276.083878
Maryland,Active,White,2474.004215
Maryland,Active,White,2356.19449
Maryland,Active,White,2356.19449
Maryland,Active,White,43.98229715
Maryland Control,Active,White,28.27433388
Maryland Control,Active,White,
Maryland Control,Active,White,32.98672286
Maryland Control,Active,White,27.48893572
Maryland Control,Active,White,
Maryland Control,Active,White,2474.004215
Maryland Control,Active,White,3180.862562
Maryland Control,Active,White,
University Park,Active,White,1963.495408
University Park,Active,White,2827.433388
University Park,Active,White,2002.765317
University Park,Active,White,659.7344573
University Park,Active,White,2591.813939
University Park,Active,White,2591.813939
University Park,Active,White,2945.243113
